,valor ,valor original,marca,distribuidora ,link,,KIMIMO,PILÃO,SANTA CLARA
80,"R$9,49","R$9,49",SANTA CLARA  250g,DULAR,https://www.dularsupermercados.com/cafe-santa-clara-250g-a-vacuo,,,,
81,"R$10,99","R$10,90",SANTA CLARA  250g,HOLANDA JL,https://mercadoholandajl.com.br/p/Cafe-Torrado-e-Moido-a-Vacuo-Classico-Santa-Clara-Pacote-250g,,,,
82,"R$11,25","R$11,25",SANTA CLARA  250g,MERCADO JUNIOR,https://mercadomjr.com.br/loja/produto/cafe-santa-clara-tradicional-250g-26619/,,,,
83,"R$14,99","R$14,99",SANTA CLARA  250g,BRAVI,https://www.bravidistribuidora.com.br/cafe-classic-almofada-santa-clara-691-1,,,,
84,"R$14,99","R$10,49",SANTA CLARA  250g,CR SUPER MERCADO,https://crsupermercados.com.br/products/cafe-santa-clara-pct-250g?srsltid=AfmBOopoSfb8HiJWKDBgCHfFd5JFuDqFhBoiGBNnGCNAr736wTYg6tqv,,,,
85,"R$10,49","R$11,39",SANTA CLARA  250g,PRIMOS SUPER MERCADO,https://primosupermercado.com.br/loja/produto/cafe-santa-clara-250g-classico-12447/,,,,
86,"R$7,99","R$7,99",SANTA CLARA  250g,BOTIQUE GELADA,https://www.boutiquegelada.com.br/loja/produto/cafe-santa-clara-250g-230/,,,,
87,"R$11,99","R$11,99",SANTA CLARA  250g,KARLA MERCADO ,https://www.vemprakarla.com.br/p/Cafe-Torrado-e-Moido-a-Vacuo-Classico-Santa-Clara-Pacote-250g,,,,
88,"R$10,49","R$10,49",SANTA CLARA  250g,GRUPO PAJEU,https://vendaspajeu.com.br/loja-01/produto/cafe-santa-clara-classico-250g-38532/,,,,
89,"R$9,99","R$9,99",SANTA CLARA  250g,SUPER MERCADO MACEDO,https://www.supermercadomacedo.com/p/Cafe-Santa-Clara-250G-Tradicional,,,,
90,"R$8,46","R$8,46",SANTA CLARA  250g,SUPER CLICK,https://loja.supermerclick.com.br/cafe-torrado-e-moido-a-vacuo-250g-santa-clara,,,,
